Release (dato),Dag,Tid,Artist,Tittel,Versjon,Fil (kilde),shorturl-slug,yt lp,tt lp,ig lp,fb lp
09.02.2026,Mandag,19:30,Sky.AI,Lost Without You,—,lost without you.mp4,lwy,https://skydevaaben.no/r/ytlwy1,https://skydevaaben.no/r/ttlwy1,https://skydevaaben.no/r/iglwy1,https://skydevaaben.no/r/fblwy1
11.02.2026,Onsdag,19:30,Sky.AI,Glass People,—,glass people.mp4,glp,https://skydevaaben.no/r/ytglp1,https://skydevaaben.no/r/ttglp1,https://skydevaaben.no/r/igglp1,https://skydevaaben.no/r/fbglp1
13.02.2026,Fredag,19:30,After Brügge,Low,Crimson Echo,low ce.mp4,loce,https://skydevaaben.no/r/ytloce1,https://skydevaaben.no/r/ttloce1,https://skydevaaben.no/r/igloce1,https://skydevaaben.no/r/fbloce1
15.02.2026,Søndag,12:00,After Brügge,Low,Crimson Noise,low cn.mp4,locn,https://skydevaaben.no/r/ytlocn1,https://skydevaaben.no/r/ttlocn1,https://skydevaaben.no/r/iglocn1,https://skydevaaben.no/r/fblocn1
17.02.2026,Tirsdag,19:30,After Brügge,Low,Annihilate,low annihilate.mp4,loah,https://skydevaaben.no/r/ytloah1,https://skydevaaben.no/r/ttloah1,https://skydevaaben.no/r/igloah1,https://skydevaaben.no/r/fbloah1
19.02.2026,Torsdag,19:30,After Brügge,Low,End Credits,low end credits.mp4,loec,https://skydevaaben.no/r/ytloec1,https://skydevaaben.no/r/ttloec1,https://skydevaaben.no/r/igloec1,https://skydevaaben.no/r/fbloec1
21.02.2026,Lørdag,12:00,Sky.AI,Fire Without A Flame,—,fire without a flame.mp4,fwaf,https://skydevaaben.no/r/ytfwaf1,https://skydevaaben.no/r/ttfwaf1,https://skydevaaben.no/r/igfwaf1,https://skydevaaben.no/r/fbfwaf1
23.02.2026,Mandag,19:30,Sky.AI,All Clear Now,—,all clear now.mp4,acn,https://skydevaaben.no/r/ytacn1,https://skydevaaben.no/r/ttacn1,https://skydevaaben.no/r/igacn1,https://skydevaaben.no/r/fbacn1
25.02.2026,Onsdag,19:30,After Brügge,Please,Crimson Noise,please crimson noise.mp4,plcn,https://skydevaaben.no/r/ytplcn1,https://skydevaaben.no/r/ttplcn1,https://skydevaaben.no/r/igplcn1,https://skydevaaben.no/r/fbplcn1
27.02.2026,Fredag,19:30,After Brügge,Please,Crimson Echo,please crimson echo.mp4,plce,https://skydevaaben.no/r/ytplce1,https://skydevaaben.no/r/ttplce1,https://skydevaaben.no/r/igplce1,https://skydevaaben.no/r/fbplce1
